iter	Passed	Remaining
839	2488	474
840	2492	471
841	2496	468
842	2500	465
843	2504	462
844	2508	460
845	2512	457
846	2515	454
847	2519	451
848	2523	448
849	2527	446
850	2531	443
851	2535	440
852	2539	437
853	2542	434
854	2546	431
855	2550	429
856	2554	426
857	2558	423
858	2562	420
859	2566	417
860	2570	415
861	2574	412
862	2578	409
863	2582	406
864	2586	403
865	2590	400
866	2594	398
867	2598	395
868	2602	392
869	2606	389
870	2610	386
871	2613	383
872	2617	380
873	2619	377
874	2622	374
875	2625	371
876	2628	368
877	2631	365
878	2634	362
879	2637	359
880	2640	356
881	2643	353
882	2645	350
883	2648	347
884	2651	344
885	2654	341
886	2656	338
887	2659	335
888	2662	332
889	2664	329
890	2667	326
891	2670	323
892	2672	320
893	2675	317
894	2678	314
895	2680	311
896	2683	308
897	2685	305
898	2688	302
899	2691	299
900	2694	296
901	2696	292
902	2699	289
903	2702	286
904	2704	283
905	2707	280
906	2710	277
907	2712	274
908	2715	271
909	2718	268
910	2720	265
911	2723	262
912	2726	259
913	2729	256
914	2732	253
915	2735	250
916	2738	247
917	2742	244
918	2745	242
919	2749	239
920	2752	236
921	2756	233
922	2760	230
923	2763	227
924	2767	224
925	2771	221
926	2774	218
927	2778	215
928	2782	212
929	2786	209
930	2790	206
931	2794	203
932	2797	200
933	2801	197
934	2805	195
935	2809	192
936	2813	189
937	2816	186
938	2820	183
939	2823	180
940	2827	177
941	2830	174
942	2834	171
943	2838	168
944	2841	165
945	2845	162
946	2849	159
947	2852	156
948	2856	153
949	2860	150
950	2864	147
951	2867	144
952	2871	141
953	2874	138
954	2878	135
955	2882	132
956	2886	129
957	2890	126
958	2893	123
959	2896	120
960	2899	117
961	2902	114
962	2905	111
963	2907	108
964	2910	105
965	2913	102
966	2916	99
967	2918	96
968	2921	93
969	2923	90
970	2926	87
971	2929	84
972	2932	81
973	2935	78
974	2937	75
975	2940	72
976	2942	69
977	2945	66
978	2948	63
979	2950	60
980	2953	57
981	2955	54
982	2958	51
983	2960	48
984	2963	45
985	2965	42
986	2968	39
987	2970	36
988	2973	33
989	2976	30
990	2979	27
991	2982	24
992	2984	21
993	2987	18
994	2990	15
995	2993	12
996	2995	9
997	2998	6
998	3001	3
999	3003	0
